"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","151","Should click Vessel Reports","chromium","Wed Dec 03 13:11:07 IST 2025","passed","Wed Dec 03 13:11:07 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","5749","Should fill Basic Details","chromium","Wed Dec 03 13:10:57 IST 2025","failed","Wed Dec 03 13:11:03 IST 2025","Add Arrival Report Manually","","",""
"","136","Should click Manage Ports","chromium","Wed Dec 03 13:11:08 IST 2025","passed","Wed Dec 03 13:11:08 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","1766","Should show validation for empty email and password","chromium","Thu Nov 20 15:25:00 IST 2025","passed","Thu Nov 20 15:25:02 IST 2025","Login Test Cases","","",""
"","2005","Should show error for invalid email format","chromium","Thu Nov 20 15:25:00 IST 2025","passed","Thu Nov 20 15:25:02 IST 2025","Login Test Cases","","",""
"","30222","Should click Default Values","chromium","Tue Nov 25 10:30:02 IST 2025","broken","Tue Nov 25 10:30:32 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","2098","Should show error for incorrect password","chromium","Thu Nov 20 15:25:00 IST 2025","passed","Thu Nov 20 15:25:02 IST 2025","Login Test Cases","","",""
"","1591","TC001 Should login successfully with valid credentials","chromium","Wed Dec 03 13:10:57 IST 2025","passed","Wed Dec 03 13:10:59 IST 2025","Login Test Cases","","",""
"","1724","TC003 Should show error for incorrect password","chromium","Wed Dec 03 13:10:57 IST 2025","passed","Wed Dec 03 13:10:59 IST 2025","Login Test Cases","","",""
"","1617","❌ Should show error for incorrect password","chromium","Fri Nov 14 14:35:19 IST 2025","passed","Fri Nov 14 14:35:20 IST 2025","Login Test Cases","","",""
"","161","Should click Form Configuration","chromium","Wed Dec 03 13:11:08 IST 2025","passed","Wed Dec 03 13:11:09 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","1915","❌ Should show error for invalid email format","chromium","Fri Nov 14 14:35:19 IST 2025","passed","Fri Nov 14 14:35:21 IST 2025","Login Test Cases","","",""
"","229","should click Information Management","chromium","Wed Dec 03 13:11:09 IST 2025","passed","Wed Dec 03 13:11:09 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","3285","Should click Alert Reports","chromium","Wed Dec 03 13:11:01 IST 2025","passed","Wed Dec 03 13:11:05 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","425","Should click Users","chromium","Wed Dec 03 13:11:08 IST 2025","passed","Wed Dec 03 13:11:08 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","1639","TC002 Should show error for invalid email format","chromium","Wed Dec 03 13:10:57 IST 2025","passed","Wed Dec 03 13:10:59 IST 2025","Login Test Cases","","",""
"","612","Should click Validation Rules","chromium","Wed Dec 03 13:11:07 IST 2025","passed","Wed Dec 03 13:11:08 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","1321","❌ Should show validation for empty email and password","chromium","Fri Nov 14 14:35:19 IST 2025","passed","Fri Nov 14 14:35:20 IST 2025","Login Test Cases","","",""
"","2961","✅ Should login successfully with valid credentials","chromium","Fri Nov 14 14:35:19 IST 2025","passed","Fri Nov 14 14:35:22 IST 2025","Login Test Cases","","",""
"","270","Should click Spire AIS Gaps","chromium","Wed Dec 03 13:11:08 IST 2025","passed","Wed Dec 03 13:11:08 IST 2025","Sidebar Buttons Navigation Flow","","",""
"","1232","Should login successfully with valid credentials","chromium","Thu Nov 20 15:25:00 IST 2025","passed","Thu Nov 20 15:25:01 IST 2025","Login Test Cases","","",""
"","964","TC004 Should show validation for empty email and password","chromium","Wed Dec 03 13:11:01 IST 2025","passed","Wed Dec 03 13:11:02 IST 2025","Login Test Cases","","",""
